Type,Runway_1,Runway_2,Surface
1,5240,0,3
1,4200,0,3
1,4081,0,3
1,4019,0,3
1,4000,0,3
1,3937,0,3
1,3937,0,3
1,3937,0,3
1,3937,0,3
1,3773,0,3
1,3684,0,3
1,3610,0,3
1,3500,0,3
1,3255,0,3
1,3154,0,3
1,3000,0,3
1,2840,0,1
1,2766,0,3
1,2723,0,3
1,2625,0,3
1,2625,0,3
1,2625,0,3
1,2600,0,3
1,3937,0,3
1,3900,0,0
1,2700,0,3
1,7000,0,3
1,7000,0,1
1,6102,0,3
1,6053,0,3
1,6000,0,1
1,5924,0,3
1,5400,0,3
1,5288,0,3
1,5240,0,3
1,5180,0,3
1,4921,0,3
1,4921,0,3
1,4921,0,3
1,4692,0,3
1,4593,0,3
1,4593,0,3
1,4300,0,3
1,6000,0,3
1,9000,0,3
1,7900,0,3
3,7200,0,3
3,7054,0,3
3,6900,0,3
3,6562,0,3
3,6562,0,3
3,6562,0,3
3,6562,0,3
3,6562,0,3
3,6006,0,3
3,6001,0,3
3,6000,0,3
3,5751,0,3
3,9846,0,3
3,9843,0,3
3,8800,0,3
3,8600,0,3
3,8270,0,3
3,9843,0,3
3,9800,0,3
3,9600,0,3
3,8990,0,3
3,8964,0,3
3,8900,0,3
3,8858,0,3
3,8700,0,3
3,12015,10014,3
3,9843,8858,3
3,8700,7001,3
3,12100,12100,3
3,10527,11200,3
2,4265,0,2
2,4000,0,1
2,3950,0,3
2,3365,0,2
2,3000,0,0
2,2800,0,3
2,2000,0,3
2,3800,0,3
2,7700,0,3
2,6940,0,1
2,5200,0,2
2,5000,0,3
2,4900,0,1
2,4500,0,3
2,4400,0,2
2,6668,0,3
2,5085,0,3
2,4500,0,3
2,4498,0,3
2,4921,5000,3
2,9844,0,3
2,7800,0,3
0,3300,0,0
0,2800,0,0
0,2100,0,0
0,7000,0,3
0,5000,0,0
0,4000,0,2
0,4000,0,2
0,4000,0,0
0,3800,0,0
0,3800,0,0
0,3700,0,0
0,3600,0,0
0,3500,0,0
0,3500,0,0
0,3500,0,0
0,3400,0,3
0,3400,0,0
0,3350,0,0
0,3300,0,0
0,3133,0,0
0,3100,0,3
0,3100,0,2
0,3050,0,2
0,3050,0,2
0,3000,0,3
0,3000,0,2
0,3000,0,2
0,3000,0,0
0,3000,0,0
0,3000,0,0
0,3000,0,0
0,3000,0,0
0,3000,0,0
0,2950,0,2
0,2900,0,2
0,2900,0,2
0,2900,0,2
0,2900,0,2
0,2800,0,0
0,2800,0,0
0,2750,0,0
0,2650,0,0
0,2600,0,0
0,2500,0,0
0,2500,0,0
0,2500,0,0
0,2400,0,2
0,2400,0,0
0,2150,0,0
0,2000,0,0
0,1950,0,0
0,1800,0,0
0,1500,0,1
0,1350,0,3
0,1350,0,3
0,1200,0,3
0,1200,0,3
0,1200,0,3
0,1200,0,3
0,1200,0,3
0,1100,0,2
0,5700,0,3
0,5400,0,0
0,4275,0,0
0,8500,8500,3
0,8000,8000,2
